Method,alien,amidar,assault,asterix,bankheist,battlezone,boxing,breakout,choppercommand,crazyclimber,demonattack,freeway,frostbite,gopher,hero,jamesbond,kangaroo,krull,kungfumaster,mspacman,pong,privateeye,qbert,roadrunner,seaquest,upndown,MedianHNS26
PaMoRL \cite{wang_parallelizing_2024},15.113877636794468,15.09164220734888,127.28969804276284,33.12674086310636,32.71078630396536,59.608068336802816,729.0456431535271,48.92286309937457,19.76189028098771,292.7134524869355,3.0858801603140305,114.19398445420752,85.4011008314791,224.02895726019764,37.07866224286841,137.32651570489406,83.89875963794836,531.6548784486392,108.40117805123278,28.51165660791957,102.54885301614271,7.108438169876901,34.35692402145192,315.50647858556204,1.2546949838399672,102.17387408376491,71.75341398737558
Drama (XS) \cite{wang_drama_2025},8.58339553185168,7.307452165743729,60.93223763976829,17.146371167086684,16.61929895791041,24.406001004952984,646.8879668049793,18.34607366226546,12.635324169809026,292.03078777910406,2.6900430472860424,50.65900642108821,16.859116992622088,115.9868207341408,23.218665591925756,125.27392257121988,44.65303385853168,758.3446531453463,105.26608475918462,29.5396053760366,101.1328235627301,0.0935491088246746,4.755957361004941,178.8281100402119,1.02080916870503,61.41328697646911,26.972803190494798
DyMoDreamer \cite{zhang_dymodreamer_2025},10.771817187081066,8.66122434689245,130.81157021612364,11.883086346810076,163.48626336446068,39.85356399397028,776.3485477178424,133.7039610840862,-1.0734703807322712,286.5950201406049,5.290472970372693,21.595133491044272,15.383534371706288,612.5249431528144,29.688923580081905,187.28999269539807,158.7931612470667,751.955595109841,112.92430753899404,23.046822088105596,117.84197111299916,4.337768360558338,11.829100933555637,267.57260483819493,1.2465971042935435,195.23736984533767,76.38893576648215
EDELINE \cite{lee_edeline_2025},10.823991478199115,17.1398061538282,193.10829275803005,48.40654504238361,113.6554337528759,9.54217213408944,730.7053941908714,864.4197359277275,18.79789563313465,363.2914020176535,47.50210288466296,114.19398445420752,5.190303314205411,271.2283632651167,39.44313699960033,275.8582907231556,174.92457257794166,763.572064265305,138.75690681472386,23.207862378279128,116.70914755026904,0.1072090616963993,49.74990820939093,408.6104550967001,4.934228545978093,45.85118012867614,81.70267098113341
FNC \cite{yang_full_2025},14.819672606323234,9.799093206047624,442.4491445507208,50.65173091531719,103.81648396264715,60.23401048022396,661.8257261410789,1294.2321056289086,30.27612212626201,209.76050844548064,1135.0590731913817,91.5511997296384,30.73427801850334,63.673488328924776,15.361468323387394,376.0774287801314,273.2148843446195,606.7778350274017,94.53816654654815,25.399214364191863,87.53894080996884,0.0417850768897178,20.568770728125244,392.05336056679647,1.827262702357674,148.39244430903778,89.54507026980362
RLPD-GX \cite{cai_guardian_2025},30.97486213668215,16.352050789797694,368.27813167567984,282.9030663306525,212.18026796589527,51.58567224176297,787.9668049792532,1946.7685892981235,57.97652353728257,454.5169648168183,671.2699224269213,121.62892869212573,98.3440683920834,202.6265719987006,21.473665771459387,455.4419284149014,227.01977874622864,764.8086561431448,107.32144604899057,70.98866697771021,118.12517700368169,6.0550401200005295,130.16299604548,488.7278994063957,17.092718339077273,88.25068549615584,125.89596236880286
TWISTER \cite{burchi_learning_2025},10.757324328437162,10.40012137267831,95.958507342045,13.215487200511255,125.5650290973068,21.70698442322877,729.8755186721993,115.63585823488532,1.505291327089162,283.8428034764001,7.528052206517018,108.11084825954714,5.61658273802553,1019.8338670007888,25.99388646024437,198.6851716581446,199.93295340261483,678.3409058972317,103.13954212600878,28.57637373387716,115.2931180968564,2.276265788748685,22.82065017846502,227.49090444884152,1.1041696934476246,58.55481281026541,77.2566600761552
GIT-STORM \cite{meo_masked_2025},13.293574591120226,10.225064625115976,143.30170704951792,7.246813692981082,66.15238868588442,20.4149020170842,671.7842323651453,35.71924947880473,18.808539107164577,177.47885136672667,3.8995453370937865,43.89996620479892,12.104461880782292,385.3728711309109,41.35659641811941,161.4317019722425,51.927589674824006,507.091667057005,108.68723807490058,23.62476107340126,75.64429340130275,3.163443780522805,28.29046762048646,222.6016467734729,0.930303456127356,85.70583702216885,42.62828131145916
EMERALD \cite{burchi_accurate_2026},6.134102421032036,7.190747667368838,110.77731375454668,10.068368441995348,123.53498443632428,38.59019453018448,588.7966804979253,209.45100764419732,2.721688359080404,257.8935601962561,19.018323959690587,104.73132815140252,3.649139243471133,670.3048865376584,22.24213684624169,60.62819576333089,292.59135098893734,562.2698955454588,100.38126507042504,21.111328507141454,115.2931180968564,0.1079280065843848,8.134152727535376,84.36203485032233,0.9517390196325946,42.05810139966666,51.34314858149878
OC-STORM \cite{zhang_object-centric_2026},12.655888810788484,9.174724139741963,201.6146725428687,18.61743817298301,143.56475842468535,6.402986146005312,763.0705394190873,174.70465601111883,19.44714754895998,292.74938220840033,14.235292177269054,-0.0337952010814464,4.562595151657103,194.87679242656267,18.168233419229832,116.14317019722424,139.65806235333557,760.4056396084126,110.01743942912564,31.51122014358171,118.12517700368169,0.0863596599448195,32.9702839188872,261.3199719154912,1.532880963552397,54.56728615208157,43.76878503548439
JEDI \cite{lim_performance_2026},12.497916651569938,6.332969604313398,225.57495044360195,25.574861635295964,123.41318175666532,39.4056420931735,759.7510373443984,534.6768589298124,8.840165429996352,215.60108427915,104.18927611287954,21.257181480229807,4.639887574657455,180.8761427444429,21.530378265624535,157.59678597516435,22.929936305732483,646.5267694037191,55.46227833684792,11.567810002558586,110.19541206457092,0.1010261356597239,25.898645110419587,187.38111955064787,2.465804321885949,32.77567698345848,36.09065953831599
Simulus \cite{cohen_simulus_2026},6.658743903941335,5.638577838982805,308.0021554627509,13.97634234864288,45.053457842739206,31.302849759529103,775.5186721991702,511.39680333564974,42.5830190974334,329.9653877016555,254.84927952147692,107.77289624873266,4.525120037475114,190.52392222376903,21.610581141988288,237.03433162892625,221.3878645658733,475.8302496604056,139.90203667618718,14.680252246286292,115.00991220617388,0.1079280065843848,17.01677510999825,312.2525052658454,4.125155110119254,88.55983082134088,98.16636353503677
